Time(S),GPU0_Power(W),GPU1_Power(W),GPU2_Power(W),GPU3_Power(W),GPU4_Power(W),GPU5_Power(W),GPU6_Power(W),GPU7_Power(W)
0.00,154.0,159.0,153.0,157.0,152.0,159.0,159.0,148.0
0.00,154.0,159.0,153.0,157.0,152.0,159.0,159.0,148.0
0.20,162.0,165.0,159.0,162.0,156.0,162.0,162.0,156.0
0.40,132.0,137.0,130.0,135.0,128.0,133.0,132.0,128.0
0.60,128.0,131.0,125.0,129.0,123.0,128.0,126.0,122.0
0.80,126.0,131.0,124.0,129.0,122.0,126.0,125.0,122.0
1.00,126.0,130.0,124.0,128.0,122.0,126.0,125.0,122.0
1.20,126.0,130.0,124.0,128.0,122.0,126.0,125.0,121.0
1.40,126.0,131.0,124.0,128.0,122.0,126.0,124.0,121.0
1.60,126.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
1.80,126.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
2.00,126.0,130.0,124.0,128.0,122.0,126.0,125.0,121.0
2.20,126.0,130.0,124.0,128.0,122.0,125.0,125.0,121.0
2.40,126.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
2.60,127.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
2.80,126.0,130.0,124.0,128.0,122.0,127.0,124.0,121.0
3.00,126.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
3.20,126.0,130.0,124.0,128.0,122.0,126.0,125.0,122.0
3.40,126.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
3.60,126.0,130.0,124.0,127.0,122.0,126.0,125.0,121.0
3.80,126.0,130.0,123.0,127.0,122.0,126.0,124.0,121.0
4.00,126.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
4.20,126.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
4.40,126.0,131.0,124.0,128.0,121.0,126.0,124.0,121.0
4.61,126.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
4.81,126.0,129.0,124.0,128.0,121.0,126.0,124.0,121.0
5.01,126.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
5.21,126.0,130.0,124.0,128.0,121.0,126.0,124.0,121.0
5.41,126.0,130.0,124.0,128.0,121.0,125.0,124.0,121.0
5.61,127.0,130.0,123.0,128.0,122.0,126.0,124.0,121.0
5.81,126.0,130.0,124.0,127.0,122.0,126.0,124.0,121.0
6.01,126.0,130.0,123.0,128.0,122.0,126.0,124.0,121.0
6.21,126.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
6.41,126.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
6.61,126.0,130.0,124.0,128.0,121.0,125.0,124.0,120.0
6.81,126.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
7.01,126.0,130.0,123.0,128.0,121.0,126.0,124.0,121.0
